cursor_motion dense_cells light_cells medium_cells scrolling scrolling_bottom_region scrolling_bottom_small_region scrolling_fullscreen scrolling_top_region scrolling_top_small_region sync_medium_cells unicode 
_ _ 17 27 _ _ _ 25 _ _ _ 18 
_ _ 18 28 _ _ _ 25 _ _ _ 18 
_ _ 18 _ _ _ _ 24 _ _ _ 18 
_ _ 18 _ _ _ _ 24 _ _ _ 18 
_ _ 18 _ _ _ _ 27 _ _ _ 16 
_ _ 17 _ _ _ _ 25 _ _ _ 17 
_ _ 18 _ _ _ _ 28 _ _ _ 16 
_ _ 17 _ _ _ _ 26 _ _ _ 16 
_ _ 19 _ _ _ _ 25 _ _ _ 16 
_ _ 18 _ _ _ _ 24 _ _ _ 16 
_ _ 21 _ _ _ _ 30 _ _ _ 16 
_ _ 20 _ _ _ _ 24 _ _ _ 16 
_ _ 21 _ _ _ _ 23 _ _ _ 16 
_ _ 22 _ _ _ _ 24 _ _ _ 18 
_ _ 21 _ _ _ _ 23 _ _ _ 16 
_ _ 21 _ _ _ _ 24 _ _ _ 18 
_ _ 22 _ _ _ _ 24 _ _ _ 16 
_ _ 20 _ _ _ _ 25 _ _ _ 17 
_ _ 30 _ _ _ _ 25 _ _ _ 17 
_ _ 28 _ _ _ _ 25 _ _ _ 18 
_ _ 21 _ _ _ _ 24 _ _ _ 17 
_ _ 20 _ _ _ _ 25 _ _ _ 18 
_ _ 22 _ _ _ _ 21 _ _ _ 16 
_ _ 20 _ _ _ _ 24 _ _ _ 16 
_ _ 16 _ _ _ _ 22 _ _ _ 15 
_ _ 19 _ _ _ _ 23 _ _ _ 17 
_ _ 20 _ _ _ _ 25 _ _ _ 16 
_ _ 19 _ _ _ _ 24 _ _ _ 17 
_ _ 19 _ _ _ _ 23 _ _ _ 18 
_ _ 21 _ _ _ _ 25 _ _ _ 17 
_ _ 21 _ _ _ _ 25 _ _ _ 19 
_ _ 22 _ _ _ _ 23 _ _ _ 16 
_ _ 20 _ _ _ _ 22 _ _ _ 16 
_ _ 20 _ _ _ _ 23 _ _ _ 16 
_ _ 16 _ _ _ _ 23 _ _ _ 15 
_ _ 19 _ _ _ _ 23 _ _ _ 16 
_ _ 21 _ _ _ _ 23 _ _ _ 15 
_ _ 19 _ _ _ _ 22 _ _ _ 17 
_ _ 20 _ _ _ _ 23 _ _ _ 17 
_ _ 19 _ _ _ _ 25 _ _ _ 17 
_ _ 20 _ _ _ _ 25 _ _ _ 16 
_ _ 19 _ _ _ _ 24 _ _ _ 17 
_ _ 17 _ _ _ _ 25 _ _ _ 17 
_ _ 17 _ _ _ _ _ _ _ _ 16 
_ _ 17 _ _ _ _ _ _ _ _ 18 
_ _ 16 _ _ _ _ _ _ _ _ 17 
_ _ 17 _ _ _ _ _ _ _ _ 17 
_ _ 19 _ _ _ _ _ _ _ _ 18 
_ _ 19 _ _ _ _ _ _ _ _ 16 
_ _ 20 _ _ _ _ _ _ _ _ 17 
_ _ 22 _ _ _ _ _ _ _ _ 17 
_ _ 21 _ _ _ _ _ _ _ _ 17 
_ _ 19 _ _ _ _ _ _ _ _ 15 
_ _ 16 _ _ _ _ _ _ _ _ 17 
_ _ 16 _ _ _ _ _ _ _ _ 17 
_ _ 16 _ _ _ _ _ _ _ _ 16 
_ _ 16 _ _ _ _ _ _ _ _ 16 
_ _ 16 _ _ _ _ _ _ _ _ 16 
_ _ 16 _ _ _ _ _ _ _ _ 16 
_ _ 17 _ _ _ _ _ _ _ _ 15 
_ _ 17 _ _ _ _ _ _ _ _ 16 
_ _ 17 _ _ _ _ _ _ _ _ 21 
_ _ 16 _ _ _ _ _ _ _ _ 16 
_ _ 17 _ _ _ _ _ _ _ _ 16 
_ _ 16 _ _ _ _ _ _ _ _ 17 
_ _ 18 _ _ _ _ _ _ _ _ 20 
_ _ 17 _ _ _ _ _ _ _ _ 16 
_ _ 16 _ _ _ _ _ _ _ _ 18 
_ _ 16 _ _ _ _ _ _ _ _ 15 
_ _ 21 _ _ _ _ _ _ _ _ 16 
_ _ 21 _ _ _ _ _ _ _ _ 16 
